asset_tag,name,manufacturer,type,category,location,size,invoice_number,cost,quantity,last_maintenance_date,next_maintenance_date,condition,notes
000024,Spanner 27,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,27,,,1,,,Good,Inherited from Dad
000025,Spanner 27,Snap-on,Spanner,Spanners,2nEXvCo0HdOKhz5EQyKM,27,,,1,,,Good,Inherited from Dad
000026,Socket E4 3/8,Blue Point,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,4,,,1,,,Good,Inherited from Dad
000027,Socket E5 3/8,Blue Point,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,5,,,1,,,Good,Inherited from Dad
000028,Socket 6T 3/8,Blue Point,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,6,,,1,,,Good,Inherited from Dad
000029,Socket E6 3/8,Blue Point,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,6,,,1,,,Good,Inherited from Dad
000030,Socket 6 3/8,Blue Point,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,6,,,1,,,Good,Inherited from Dad
000031,Socket 7T 3/8,Blue Point,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,7,,,1,,,Good,Inherited from Dad
000032,Socket E7 3/8,Blue Point,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,7,,,1,,,Good,Inherited from Dad
000033,Socket 7 3/8,Blue Point,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,7,,,1,,,Good,Inherited from Dad
